local,X1,X2,X3,X4,X5,X6,X7,X8,P1symprot,P1symcarb,P1symlip,P1volume,P1chlacell,P1STsigma,P1STp,P1STETR,P1density,P1grossPhotocell,P1tauAve,P1MTtauAve,P1MTfvfm,P1mtNPQ
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,6,NPA6-5,t,0.000383709,8.51E-07,NA,407.5479365,3.217683217,218,0.06,363970.838,714066.0725,3.44E-09,1637,28292,0.468567807,0.664682448
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,7,NPA7-5,t,0.000427782,6.40E-07,0.000134127,571.3831978,2.059508547,268,0.05,183047.886,545576.4379,3.08E-09,1764,28650,0.39362776,1.259871665
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,8,NPA8-5,t,0.000365599,1.11E-06,0.000189343,523.505465,3.540783059,223,0.06,164400.506,939239.4474,1.32E-09,1286,29438,0.444131737,0.796730316
TOffshorePachyseris,T,Offshore,Pachyseris,C40-sp,10,1,OPA1-5,t,0.001652853,2.12E-06,0.002363108,717.896718,4.219135054,196,0.07,150870.314,204381.0796,9.48E-09,1888,28519,0.358020274,0.891129025
TOffshorePachyseris,T,Offshore,Pachyseris,C40-sp,10,2,OPA2-5,t,0.001028582,1.19E-06,0.000800003,812.5375751,6.456390944,199,0.06,310674.024,390966.3894,6.04E-09,1652,26895,0.424756967,0.321591024
TOffshorePachyseris,T,Offshore,Pachyseris,C40-sp,10,3,OPA3-5,t,0.000636272,1.17E-06,0.000320099,1092.396432,3.468595248,183,0.17,115071.681,781838.9683,2.64E-09,1604,38265,0.22,0.240257341
TOffshorePachyseris,T,Offshore,Pachyseris,trenchii,10,4,OPA4-5,t,0.001007814,1.45E-06,0.000801844,486.1780916,5.70659949,205,0.05,142240.48,271674.0752,6.75E-09,1859,29141,0.431405437,0.860450992
TOffshorePachyseris,T,Offshore,Pachyseris,C40-sp,10,5,OPA5-5,t,0.000566248,8.27E-07,0.000430287,1015.402622,2.81980829,189,0.18,200806.263,844990.9065,1.81E-09,1578,37880,0.221415385,0.955247228
TOffshorePachyseris,T,Offshore,Pachyseris,C40-sp,10,6,OPA6-5,t,0.000454947,5.18E-07,0.000398025,956.0097918,1.684528314,177,0.08,118974.621,494241.0092,1.94E-09,1766,29042,0.359477521,0.736247338
TOffshorePachyseris,T,Offshore,Pachyseris,C40-sp,10,7,OPA7-5,t,0.00128572,1.45E-06,0.0007931,984.8825335,3.232124184,201,0.07,93703.0845,158768.7193,1.12E-08,1856,30453,0.303735256,1.381042824
TOffshorePachyseris,T,Offshore,Pachyseris,trenchii,10,8,OPA8-5,t,0.000952658,6.78E-07,0.001104816,631.5242855,2.615672779,174,0.07,173550.732,310737.1005,5.77E-09,1598,35685,0.505823529,0.843297676
