local,X1,X2,X3,X4,X5,X6,X7,X8,P1symprot,P1symcarb,P1symlip,P1volume,P1chlacell,P1STsigma,P1STp,P1STETR,P1density,P1grossPhotocell,P1tauAve,P1MTtauAve,P1MTfvfm,P1mtNPQ
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,1,OA1-10,B,0.001065151,4.58E-06,0.001903685,786.5871925,10.71889857,215,0.14,477839.1125,116129.0322,NA,1097,20520,0.474,0.248385974
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,2,OA2-10,B,0.00064972,4.71E-06,0.000705036,787.1117933,9.254600211,237,0.23,192707.6625,229323.2132,2.71E-09,1367,33440,0.428,0.47892374
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,3,OA3-10,B,0.000507378,3.20E-06,0.000970691,1037.266014,5.541754494,208,0.3,259328.68,148486.3523,1.17E-08,1419,25704,0.435,0.456381045
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,4,OA4-10,B,0.000378831,2.71E-06,0.001448567,935.2448926,8.132389317,220,0.19,360154.63,322651.1545,5.89E-09,1135,25727,0.498,0.340896037
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,5,OA5-10,B,0.000715184,4.16E-06,0.002542877,914.9456542,10.88497785,201,0.33,278930.112,200177.1031,7.00E-09,1400,26501,0.407,0.191831119
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,6,OA6-10,B,0.001495806,4.75E-06,0.00217557,1013.23521,5.257928154,224,0.2,242849.6,137947.2141,1.22E-08,1439,27835,0.447,0.311618156
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,7,OA7-10,B,0.001082988,5.56E-06,0.005140349,979.9949676,7.921894545,222,0.15,332140.194,139354.8387,1.03E-08,1009,20843,0.477,0.388272454
TOffshoreAcropora,T,Offshore,Acropora,C21-sp,10,8,OA8-10,B,0.0004275,2.17E-06,0.000748303,821.0808948,4.889060788,207,0.13,267058.6695,367047.1464,5.61E-09,1067,24228,0.491,0.547993475
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,1,NG1-5,B,0.000449134,6.34E-07,0.002133497,659.1797962,4.671370311,166,0.08,257355.527,395371.8239,2.28E-08,1814,19012,0.546,0.515713532
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,2,NG2-5,B,0.001063728,1.03E-06,0.004909532,658.9055737,3.202035613,163,0.13,263307.5105,117602.8273,3.21E-08,2074,18073,0.523,0.466121415
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,3,NG3-5,B,0.000521718,5.63E-07,0.00361522,397.5396992,2.201720725,167,0.14,300548.063,350397.4398,1.18E-08,2109,17343,0.538,0.27210942
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,4,NG4-5,B,0.00045729,5.56E-07,0.000899958,461.1888813,3.43879401,174,0.15,358419.99,489440.1488,6.61E-09,1893,13480,0.543,0.151515216
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,5,NG5-5,B,0.000516294,4.33E-07,NA,641.8926974,3.684135991,188,0.07,152865.15,639882.1435,7.73E-09,2575,37445,0.472,0.139967586
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,6,NG6-5,B,0.000680984,8.13E-07,0.002142287,506.7370718,6.751748126,163,0.16,NA,482547.4279,8.76E-09,1967,15477,0.524,NA
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,7,NG7-5,B,0.000133326,5.23E-07,0.002266372,594.4460357,4.194125624,161,0.11,279277.04,474956.3459,8.70E-09,2360,15206,0.542,0.260160882
CNikkoGoniastrea,C,Nikko,Goniastrea,trenchii,10,8,NG8-5,B,0.000379286,6.07E-07,0.002298794,514.8066977,5.159707579,190,0.07,144191.95,489786.3321,8.58E-09,2247,29236,0.522,0.218288634
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,1,OG1-5,B,0.000153596,7.34E-07,0.000815865,569.863906,4.46731701,212,0.08,326372.516,864745.3176,4.40E-09,1835,22064,0.459,0.247523134
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,2,OG2-5,B,0.000417908,1.17E-06,0.001448686,650.4630129,8.778231039,170,0.11,504997.07,549818.8032,2.46E-09,1458,15195,0.567,0.213563806
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,3,OG3-5,B,0.000533014,1.26E-06,0.001064599,549.2610115,8.633674236,183,0.11,446398.7625,662824.4455,4.42E-09,1311,18088,0.501,0.357517993
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,4,OG4-5,B,0.000347834,9.19E-07,0.000766959,621.6680654,4.503313687,191,0.08,302326.069,829617.4677,2.41E-09,2173,18607,0.48,0.602573887
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,5,OG5-5,B,0.000518365,1.22E-06,0.000439307,612.520699,8.278747232,187,0.09,366952.2505,773084.8183,4.75E-09,1657,20630,0.501,0.392909983
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,6,OG6-5,B,0.000561449,9.44E-07,0.001092464,498.3256874,5.837863599,174,0.11,494242.302,947355.2223,4.13E-09,1794,16296,0.552,0.276149713
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,7,OG7-5,B,0.00025332,1.05E-06,0.001075123,557.346111,5.956819382,200,0.08,370779.3,889153.4518,2.26E-09,2405,20415,0.491,0.392605525
COffshoreGoniastrea,C,Offshore,Goniastrea,C40-sp,10,8,OG8-5,B,0.000359773,9.61E-07,0.000870267,668.2728711,7.77991854,179,0.1,273628.6185,709956.0689,4.85E-09,1679,20488,0.491,0.197512802
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,1,NG1-10,B,0.001179522,1.17E-06,0.002517042,733.8753548,9.116026055,178,0.11,320344.642,189957.3078,1.67E-08,1675,16231,0.496,0.327580064
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,2,NG2-10,B,0.000851886,1.09E-06,0.00129605,708.7174758,7.337554745,170,0.11,324377.68,209422.241,1.35E-08,1654,14470,0.52,0.357665692
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,3,NG3-10,B,0.001141884,1.36E-06,0.001960168,580.601944,7.722360424,165,0.19,270115.9725,242260.5762,1.55E-08,2051,17384,0.495,0.230554668
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,4,NG4-10,B,0.002069001,1.78E-06,0.00643767,608.3475574,4.199324467,170,0.12,232224.93,123615.012,2.62E-08,1949,10130,0.518,0.264245529
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,5,NG5-10,B,0.000412148,6.18E-07,0.001272498,591.4171736,5.018805468,160,0.12,445802.48,424264.3803,7.44E-09,1842,14369,0.556,0.11889998
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,6,NG6-10,B,0.000610868,9.57E-07,0.00136338,752.2345923,6.134699904,170,0.18,276458.25,364513.5352,9.09E-09,1480,10521,0.475,0.133905013
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,7,NG7-10,B,0.000286629,4.11E-07,0.001012209,590.7573469,3.341149825,175,0.12,292178.425,584389.9691,5.02E-09,1828,13219,0.525,0.226102628
TNikkoGoniastrea,T,Nikko,Goniastrea,trenchii,10,8,NG8-10,B,0.000825593,8.29E-07,0.00115993,598.9488007,2.93948582,181,0.08,380688.431,379356.2334,7.17E-09,2041,12865,0.51,0.128867867
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,1,OG1-10,B,0.000419403,2.32E-06,0.002308907,640.1975253,4.984884572,196,0.31,97746.964,376359.4602,6.35E-09,1676,17563,0.38,0.676195016
